ID,Idade,Genero,Horas de estudo,Faltas,Matemática,Ciências,História
1,16,Male,5,2,85,78,92
2,17,Female,3,4,70,82,75
3,15,Male,4,1,90,88,85
4,16,Female,6,0,95,92,88
5,17,Male,2,3,60,70,65
6,15,Female,4,2,75,80,78
7,16,Male,3,5,82,75,80
8,17,Female,5,1,88,90,85
9,15,Male,2,4,65,68,70
10,16,Female,4,3,78,85,82
11,17,Male,3,2,80,72,75
12,15,Female,6,0,92,94,90
13,16,Male,2,1,70,75,72
14,17,Female,4,3,85,88,85
15,15,Male,5,2,78,80,82
16,16,Female,3,4,65,70,68
17,17,Male,4,1,88,82,85
18,15,Female,2,0,92,96,94
19,16,Male,6,3,75,78,80
20,17,Female,3,2,80,85,82
21,15,Male,5,1,82,74,78
22,16,Female,4,4,88,90,85
23,17,Male,2,0,70,72,75
24,15,Female,4,3,92,94,90
25,16,Male,3,2,65,68,70
26,17,Female,5,0,85,88,85
27,15,Male,2,3,78,80,82
28,16,Female,4,2,65,70,68
29,17,Male,3,1,88,82,85
30,15,Female,6,0,92,96,94
31,16,Male,2,2,75,78,80
32,17,Female,4,3,80,85,82
33,15,Male,5,1,82,74,78
34,16,Female,3,4,88,90,85
35,17,Male,4,0,70,72,75
36,15,Female,4,3,92,94,90
37,16,Male,3,2,65,68,70
38,17,Female,5,0,85,88,85
39,15,Male,2,3,78,80,82
40,16,Female,4,2,65,70,68
41,17,Male,3,1,88,82,85
42,15,Female,6,0,92,96,94
43,16,Male,2,2,75,78,80
44,17,Female,4,3,80,85,82
45,15,Male,5,1,82,74,78
46,16,Female,3,4,88,90,85
47,17,Male,4,0,70,72,75
48,15,Female,4,3,92,94,90
49,16,Male,3,2,65,68,70
50,17,Female,5,0,85,88,85
